ref,title,author,lastRunTime,totalVotes
dreamurr/orbit-wars-learning-journey-first-agent-444-pts,Orbit Wars Learning Journey First Agent 444 pts,Dreamurr,2026-05-10 11:58:58.907000,0
afr1ste/orbit-wars-snipe-plus-no-bom-agent,Orbit Wars Snipe Plus No-BOM Agent,Afr1ste,2026-05-10 11:49:31.987000,1
afr1ste/orbit-wars-four-source-no-bom-agent,Orbit Wars Four Source No-BOM Agent,Afr1ste,2026-05-10 11:49:25.503000,1
rudrabhaskar/orbit-wars-agent-score-1049-2-highest-public,Orbit Wars | Agent Score 1049.2+ (Highest Public),Rudra,2026-05-10 06:19:25.967000,8
omchimurkar/orbit-wars-improved-agent-v2,🛰️ Orbit Wars — Improved Agent v2,Om Chimurkar,2026-05-10 06:06:59.717000,6
amlear/orbit-wars-2026-starter,Orbit Wars 2026 - Starter,AmLear,2026-05-09 10:08:10.687000,0
amlear/getting-started,Getting Started,AmLear,2026-05-09 10:05:42.400000,0
wasiqaliyasir/0rbit-w-rs-complete-solution,0rbit W@rs Complete Solution,Wasiq Ali,2026-05-08 17:51:23.257000,3
wasiqaliyasir/quick-submission-of-orbit-war-two-bot-combine-v3,Quick Submission of Orbit war two bot combine v3,Wasiq Ali,2026-05-08 17:12:53.633000,3
thisisn0mad/orbit-wars-rl-pipeline-public,Orbit Wars - RL pipeline (public).,N0maD,2026-05-08 15:13:48.763000,14
adilshamim8/orbit-wars-101,Orbit Wars 101,Adil Shamim,2026-05-08 08:28:26.170000,17
pascalledesma/orbitbotnext,orbitbotnext,Pascal,2026-05-08 06:50:00.077000,91
yijue1/1103-peaking-bot,1103 Peaking Bot,Yijue1,2026-05-07 20:47:28.537000,27
karnakbaevarthur/marco-dg-v3-3-top-score-1060-5,Marco DG v3.3 (top score: 1060.5),Karnakbayev Artur,2026-05-07 19:07:51.110000,2
zacharymaronek/orbit-wars-ender-s-fleet-score-1000-heuristic,"Orbit Wars-Ender's Fleet (Score>1000, Heuristic)",Zachary Maronek,2026-05-07 16:48:23.253000,33
nina2025/orbit-wars-two-bot-combine-v3,Orbit Wars | two-bot combine v3,F.A.Nina,2026-05-07 16:27:33.777000,21
lightjunction/notebookd8434cb4fd,notebookd8434cb4fd,LIght JUNction,2026-05-07 11:54:38.753000,1
cfxyai/ji-cheng-xun-lian,Ji Cheng Xun Lian,c_fxy,2026-05-07 09:17:45.620000,1
djenkivanov/orbit-wars-agent-ow-proto-passed-1-000,"Orbit Wars | Agent OW-Proto | Passed 1,000 🥳",Djenk Ivanov,2026-05-07 09:00:05.373000,125
museofnephorion/sun-signal-alliance-protocol-ssap-draft-spec,Sun-Signal Alliance Protocol (SSAP) — Draft Spec,MuseOfNephorion,2026-05-07 01:21:06.580000,2
marcodg/marco-dg-v3-3-top-score-1060-5,Marco DG v3.3 (top score: 1060.5),Marco DG,2026-05-06 19:53:48.487000,45
pascalledesma/orbitwork-v16,orbitwork-v16,Pascal,2026-05-06 04:39:31.527000,4
sangrampatil5150/api-download-replay-orbit-wars,[API] Download Replay | Orbit Wars,Sangram Patil,2026-05-05 17:23:22.650000,6
alkakumari1234/cosmic-chaos,Cosmic Chaos,Pro_Analyst,2026-05-05 13:17:39.497000,4
melccoro/orbit-wars-step-by-step-agent-dev-ablation,Orbit Wars: Step-by-Step Agent Dev & Ablation,melccoro,2026-05-05 12:37:03.880000,15
mohit98765/orbit-wars-v25-improved-inference,Orbit Wars v25 Improved Inference,Mohit,2026-05-05 09:24:43.663000,3
mohit98765/orbit-wars-v30-pure-roi,Orbit Wars v30_pure_roi,Mohit,2026-05-05 09:24:32.040000,1
mohit98765/orbit-wars-v29-defender,Orbit Wars v29_defender,Mohit,2026-05-05 09:24:20.840000,1
mohit98765/orbit-wars-v22-domination,Orbit Wars v22 Domination,Mohit,2026-05-05 09:24:08.180000,1
dynamo14324/orbit-wars-baseline,orbit-wars-baseline,Yogesh Jadhav,2026-05-05 04:53:52.817000,7
konbu17/train-submit-v4-ml-validator-topk1-tutorial,train submit v4 ml validator topk1 tutorial,konbu17,2026-05-05 03:19:50.027000,5
franksunp/orbit-wars-auto-improve-rahulchauhan-2000,Orbit Wars Auto Improve - rahulchauhan 2000,fsun,2026-05-05 02:38:56.520000,13
hocop1/agent-that-never-misses,Agent that never misses,Ruslan Baynazarov,2026-05-04 16:04:47.140000,8
djenkivanov/orbit-wars-optimized-nearest-planet-sniper,Orbit Wars | Optimized Nearest Planet Sniper,Djenk Ivanov,2026-05-04 08:12:32.437000,21
abdulmoiz11/orbit-wars-beginner-bot-neutral-planet-expansion,Orbit Wars Beginner Bot: Neutral Planet Expansion ,Abdulmoiz,2026-05-03 17:13:25.413000,3
karnakbaevarthur/advanced-nn-approach,Advanced NN approach,Karnakbayev Artur,2026-05-03 11:57:16.560000,2
konbu17/orbit-wars-rule-base-ml-shot-validator-hybrid,Orbit Wars — Rule-base × ML Shot Validator Hybrid,konbu17,2026-05-03 09:23:52.997000,52
deonisdeonnis/constant-factory-template,Constant Factory Template🏭,Deonis Deonnis,2026-05-03 09:07:53.507000,7
mirzamilanfarabi/orbit-wars-v2,Orbit Wars v2,Mirza Milan Farabi,2026-05-03 05:00:29.640000,8
zacharymaronek/fork-of-orbit-wars-eval,Fork of Orbit Wars Eval,Zachary Maronek,2026-05-02 23:08:42.017000,0
limprog/orbit-wars-1k-smart-agent-baseline,Orbit Wars: [1k+]  - Smart Agent Baseline,limprog,2026-05-02 18:35:54.240000,4
adityaravi2/getting-started-with-challenge,Getting started with challenge,ADITYA RAVI,2026-05-02 17:46:36.340000,0
maroofiums/orbit-wars,ORBIT WARS,M.Maroof,2026-05-02 10:37:19.337000,16
visheshpatadiya/ordit-wars-v01,Ordit Wars V01,Vishesh Patadiya,2026-05-02 06:10:47.523000,3
karnakbaevarthur/orbit-wars-2026-neural-network,Orbit Wars 2026 - Neural Network ,Karnakbayev Artur,2026-05-01 21:37:13.597000,6
mirzamilanfarabi/orbit-wars-v3,Orbit Wars v3,Mirza Milan Farabi,2026-05-01 20:25:20.343000,10
byfone/orbit-dominance-based-fleet-redistribution,💫 Orbit Dominance-Based Fleet Redistribution,Byfone,2026-05-01 10:46:03.590000,1
junaid512/orbit-wars-orbital-supremacy,"Orbit Wars — ""Orbital Supremacy""",Muhammad Junaid,2026-05-01 07:16:05.873000,19
orecord/rules-aware-agent,Rules-Aware-Agent,Or4k2!,2026-05-01 01:28:31.883000,3
vincentcaujolle/orbit-wars-pathfinding,ORBIT WARS - Pathfinding,Vincent Caujolle,2026-04-30 23:36:44.253000,9
zacharymaronek/owv47,OWv47,Zachary Maronek,2026-04-30 13:25:16.460000,0
aidensong123/reverse-engineering-agents-replay-analysis-tooli,Reverse-Engineering Agents: Replay Analysis Tooli,AidenSong123,2026-04-30 03:17:44.930000,18
ldausl/orbit-wars,Orbit Wars,Muhammad Firdaus,2026-04-29 13:59:09.353000,0
hmnshudhmn24/orbit-wars,Orbit Wars,Himanshu Dhiman,2026-04-29 06:27:12.737000,9
woosungyoon/how-to-create-a-baseline,How to Create a Baseline,WOOSUNG YOON,2026-04-29 05:07:49.057000,37
aminmahmoudalifayed/kronos-omega,KRONOS OMEGA.🐉🛸,Dr/ameen Fayed,2026-04-28 18:07:43.587000,42
agentzz/orbit-wars-agent-submission,Orbit Wars Agent Submission,⸻AgentZZ ⸻,2026-04-28 17:21:26.907000,2
mtoshidesu/demo-orbit-wars-demystified,【demo】🚀 Orbit Wars Demystified,m-toshi desu,2026-04-28 13:57:07.553000,11
beraterolelk/hyperion-orbit-wars-supreme-tactical-intelligence,HYPERION: Orbit Wars Supreme Tactical Intelligence,Berat Erol ÇELİK,2026-04-28 12:54:26.767000,4
junaid512/orbit-wars-600,Orbit Wars 600+,Muhammad Junaid,2026-04-28 06:13:35.700000,2
skomuro/orbit-wars-complete-guide-eda-agents-submission,Orbit Wars Complete Guide (EDA/Agents/Submission),skomuro,2026-04-28 02:51:11.473000,5
agentzz/orbitwars-agi-agent,OrbitWars AGI Agent,⸻AgentZZ ⸻,2026-04-28 00:10:15.683000,1
agentzz/orbitwars-hybrid-agent,OrbitWars Hybrid Agent,⸻AgentZZ ⸻,2026-04-28 00:08:43.143000,1
zacharymaronek/orbit-wars-agent-iteration,Orbit Wars Agent Iteration,Zachary Maronek,2026-04-27 18:30:22.843000,0
ravi123a321at/notebook36c295ef5e,notebook36c295ef5e,Ravindra,2026-04-27 14:49:36.703000,1
beraterolelk/omega-v6-ultra-orbit-wars-supreme-agent,OMEGA v6 ULTRA — Orbit Wars Supreme Agent,Berat Erol ÇELİK,2026-04-27 12:12:26.743000,5
raunakdey07/orbit-wars-v4,Orbit Wars V4,Raunak Dey,2026-04-27 07:11:31.507000,0
yumekohata/utility-replay-json-to-pandas-dataframe-for-ml-r,[Utility] Replay JSON to Pandas DataFrame for ML/R,Yumeko,2026-04-27 03:31:23.237000,14
francisbanda/orbit-wars-strategic-agent,Orbit Wars Strategic Agent,Francis Banda,2026-04-26 19:17:10.330000,4
francisbanda/orbit-wars-strategic-agent-v14,Orbit Wars Strategic Agent v14,Francis Banda,2026-04-26 19:12:36.030000,2
emanuellcs/orbit-wars-heuristic-agent,Orbit Wars: Heuristic Agent,Emanuel Lázaro,2026-04-26 16:43:16.847000,9
francisbanda/orbit-wars-strategic-agent-v13,Orbit Wars Strategic Agent v13,Francis Banda,2026-04-26 11:20:06.970000,3
beraterolelk/omega-v5-orbit-wars-supreme-domination-engine,OMEGA v5 — Orbit Wars Supreme Domination Engine,Berat Erol ÇELİK,2026-04-26 08:10:44.140000,11
syedalihasnat/orbit-wat-strategy-solution,Orbit Wat Strategy & Solution,Syed Ali Hasnat,2026-04-26 05:09:19.587000,3
lakhindarpal/orbit-wars-rank-1-clone,Orbit Wars | Rank-1 Clone,Lakhindar Pal,2026-04-26 04:08:19.937000,0
beraterolelk/omega-v3-orbit-wars-full-agent-breakdown,OMEGA v3 — Orbit Wars: Full Agent Breakdown,Berat Erol ÇELİK,2026-04-25 21:50:12.533000,5
afr1ste/orbit-wars-reliable-distance-based-baseline,Orbit Wars: Reliable Distance-Based Baseline,Afr1ste,2026-04-25 18:18:26.490000,1
astitwaagarwal/orbit-wars,orbit_wars,Astitwa Agarwal,2026-04-25 11:26:28.343000,3
mtoshidesu/test-orbit-wars-sun-dodging-baseline,test-☀️ Orbit Wars: Sun-Dodging Baseline,m-toshi desu,2026-04-25 07:56:58.840000,0
zacharymaronek/orbitmedaddyxd,OrbitMeDaddyXD,Zachary Maronek,2026-04-25 05:06:31.617000,0
skarin/dying-star,Dying Star,SK Arin,2026-04-24 20:29:59.250000,1
amanatar/orbit-wars-domination-agent,Orbit Wars — Domination Agent,Aman Atar,2026-04-24 18:02:17.050000,2
francisbanda/orbit-wars-strategic-orbital-intercept-agent,Orbit Wars — Strategic Orbital Intercept Agent,Francis Banda,2026-04-24 12:44:02.160000,3
francisbanda/orbit-wars-agent-francis-banda,Orbit Wars Agent - Francis Banda,Francis Banda,2026-04-24 08:37:35.417000,0
pascalledesma/orbitwork-v14,orbitwork-v14,Pascal,2026-04-24 07:02:06.500000,56
debugendless/orbit-wars-sun-dodging-baseline,☀️ Orbit Wars: Sun-Dodging Baseline,Natsu Yamaguchi,2026-04-24 05:32:00.833000,71
pascalledesma/orbitbotleague,orbitbotleague,Pascal,2026-04-23 10:24:26.227000,5
pascalledesma/orbitbot,OrbitBot,Pascal,2026-04-23 07:18:41.747000,3
zacharymaronek/orbitwars-v6-1,OrbitWars-v6.1,Zachary Maronek,2026-04-23 03:10:51.110000,2
fedorbaart/data-generation-expert-imitation-for-rl,[Data generation] Expert Imitation for RL,Fedor Baart,2026-04-22 23:10:01.563000,2
zacharymaronek/orbitwars-testagent,OrbitWars-TestAgent,Zachary Maronek,2026-04-22 22:08:52.237000,0
vyankteshdwivedi/orbit-wars-bot,Orbit Wars Bot,zorojuro,2026-04-22 20:29:55.643000,2
mrisdal/orbit-wars-greedy-baseline,Orbit Wars Greedy Baseline,Meg Risdal,2026-04-22 17:41:52.797000,5
mrisdal/orbit-wars-baseline-agent,Orbit Wars Baseline Agent,Meg Risdal,2026-04-22 17:39:29.313000,6
dylanxue04/orbit-wars-replay-api-tutorial,Orbit Wars: Replay API Tutorial,Dingrong Xue,2026-04-22 17:31:12.603000,3
dylanxue04/orbit-wars-complete-game-mechanics-deep-dive,Orbit Wars: Complete Game Mechanics Deep Dive,Dingrong Xue,2026-04-22 17:05:02.523000,46
wasiqaliyasir/orbit-w-r-submission-game-genrator,Orbit w@r submission game genrator,Wasiq Ali,2026-04-22 16:25:33.293000,3
kashiwaba/orbit-wars-reinforcement-learning-tutorial,Orbit Wars - Reinforcement Learning Tutorial,YumeNeko,2026-04-22 15:04:09.147000,180
msama01/aegis-orbital,Aegis Orbital,Maram Ali,2026-04-22 09:13:05.507000,10
ykhnkf/distance-prioritized-agent-lb-max-score-1100,Distance-Prioritized Agent [LB max score 1100],ykhnkf,2026-04-22 07:03:24.877000,67
